group_id,target,prompt_type,prompt,num_predictions,mean_bbox_area_ratio,median_bbox_area_ratio,std_bbox_area_ratio,p90_bbox_area_ratio,large_box_rate,very_large_box_rate
1,button,baseline,button,4,0.08559188807344728,0.07305688149398462,0.049773481263553875,0.14232197224775367,0.0,0.0
1,button,context,clothing button,5,0.4385289438090574,0.39032228100963484,0.3345785193285968,0.8354870101763285,0.4,0.2
1,collar,baseline,collar,50,0.3271816550168355,0.17730806617882283,0.3258514980400481,0.8909709636754659,0.34,0.12
1,collar,context,shirt collar,80,0.34052179446860664,0.2555482286518417,0.30093526192343983,0.8898170001425397,0.3,0.1125
1,sleeve,baseline,sleeve,56,0.2671801709154314,0.22417141776004876,0.19398048529523154,0.5273332617357495,0.14285714285714285,0.017857142857142856
1,sleeve,context,shirt sleeve,92,0.3304719571754208,0.26964449452566797,0.26266665560944885,0.7006973268270892,0.2391304347826087,0.07608695652173914
1,zipper,baseline,zipper,3,0.1939598131668678,0.15905577736263848,0.14998851058308735,0.3458954793399337,0.0,0.0
1,zipper,context,clothing zipper,4,0.30471938490022454,0.27524463358765294,0.23221704197420595,0.5644005693672232,0.25,0.0
2,button,baseline,button,4,0.5287629655447973,0.5340552076581463,0.46790267963236865,0.9976364853060335,0.5,0.5
2,button,context,clothing button,3,0.6803261999487269,0.9938299270233805,0.4473154413142894,0.998297042874211,0.6666666666666666,0.6666666666666666
2,collar,baseline,collar,50,0.3362904226929063,0.24213851352987756,0.3113982059788347,0.8333833970400595,0.28,0.14
2,collar,context,shirt collar,81,0.41337232736603,0.32034156300879585,0.32467201379543886,0.9057786681526303,0.3950617283950617,0.19753086419753085
2,sleeve,baseline,sleeve,66,0.3282230084669999,0.23329721353950605,0.23277517975108988,0.6948243359979969,0.25757575757575757,0.045454545454545456
2,sleeve,context,shirt sleeve,92,0.36684582717983205,0.2991178709434903,0.26344376163597577,0.7431870669985807,0.31521739130434784,0.09782608695652174
2,zipper,baseline,zipper,2,0.04581224167226005,0.04581224167226005,0.011641724157130537,0.05512562099796448,0.0,0.0
2,zipper,context,clothing zipper,2,0.045718181023633356,0.045718181023633356,0.011724383570830343,0.05509768788029763,0.0,0.0
3,button,baseline,button,3,0.030425782601465785,0.028952852620634077,0.01368717319043275,0.04409212205921888,0.0,0.0
3,button,context,clothing button,2,0.038298025920066925,0.038298025920066925,0.009456393614695318,0.04586314081182318,0.0,0.0
3,collar,baseline,collar,57,0.284551492722476,0.20877281887881255,0.26667805674845596,0.7000853690839843,0.22807017543859648,0.05263157894736842
3,collar,context,shirt collar,82,0.3077085700520572,0.23396657333353785,0.2618529900944265,0.6893829061107255,0.24390243902439024,0.04878048780487805
3,sleeve,baseline,sleeve,66,0.24940781414316415,0.15481399777121474,0.21615853314625025,0.5630350560171821,0.16666666666666666,0.030303030303030304
3,sleeve,context,shirt sleeve,85,0.2660116566723421,0.17471521932266115,0.23222994367623606,0.6492096192997036,0.18823529411764706,0.047058823529411764
3,zipper,baseline,zipper,2,0.028052441862715202,0.028052441862715202,0.0012311693812131121,0.029037377367685694,0.0,0.0
3,zipper,context,clothing zipper,2,0.02798296752386959,0.02798296752386959,0.0011922233579505694,0.028936746210230048,0.0,0.0
overall,button,baseline,button,11,0.23169970566157963,0.047876939418865075,0.3625807947014998,0.9938965636260451,0.18181818181818182,0.18181818181818182
overall,button,context,clothing button,10,0.43102193707316017,0.2743618907216521,0.4068623661452094,0.9943883165047342,0.4,0.3
overall,collar,baseline,collar,157,0.314605343762218,0.20692875758568335,0.3017358097055045,0.7933268465412382,0.2802547770700637,0.10191082802547771
overall,collar,context,shirt collar,243,0.3537325301168957,0.25907614777640486,0.30007944670514386,0.8422240628047927,0.31275720164609055,0.11934156378600823
overall,sleeve,baseline,sleeve,188,0.2823708716145478,0.2050315876507937,0.21868280397812814,0.6388456934742459,0.19148936170212766,0.031914893617021274
overall,sleeve,context,shirt sleeve,269,0.3225435947131314,0.22922417821251193,0.2570535037907226,0.7020566233029578,0.24907063197026022,0.07434944237918216
overall,zipper,baseline,zipper,7,0.10422982951007913,0.03417051751512951,0.12555555331398438,0.2524756283512862,0.0,0.0
overall,zipper,context,clothing zipper,8,0.17078497958698802,0.045718181023633356,0.21207272357527138,0.4657198539475433,0.125,0.0
