image_name,bbox_area_ratio,fixed_margin_ratio,fixed_expanded_bbox_area_ratio,adaptive_margin_ratio,adaptive_expanded_bbox_area_ratio,adaptive_minus_fixed_area_ratio
167622.jpg,0.2327,0.15,0.3463,0.2,0.3887,0.04239999999999999
029185.jpg,0.9856,0.15,1.0,0.05,1.0,0.0
006557.jpg,0.2533,0.15,0.3776,0.2,0.4251,0.04749999999999999
072098.jpg,0.3455,0.15,0.532,0.1,0.4691,-0.06290000000000001
064197.jpg,0.6553,0.15,0.8688,0.05,0.7562,-0.11260000000000003
058514.jpg,0.3839,0.15,0.5172,0.1,0.4766,-0.04059999999999997
036580.jpg,0.3308,0.15,0.485,0.1,0.4459,-0.03909999999999997
026869.jpg,0.6517,0.15,0.844,0.05,0.7158,-0.12819999999999998
142965.jpg,0.1753,0.15,0.26,0.2,0.2813,0.021299999999999986
